,,,These are the population desnities in people per square mile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
state_name,county_name,Area in sq mi,pop1970,pop1971,pop1972,pop1973,pop1974,pop1975,pop1976,pop1977,pop1978,pop1979,pop1980,pop1981,pop1982,pop1983,pop1984,pop1985,pop1986,pop1987,pop1988,pop1989,pop1990,pop1991,pop1992,pop1993,pop1994,pop1995,pop1996,pop1997,pop1998,pop1999,pop2000,pop2001,pop2002,pop2003,pop2004,pop2005,pop2006,pop2007,pop2008,pop2009
Alabama,Chambers County,596.53,60.94580323,60.85192698,60.51665465,62.02538011,62.86356093,62.86356093,63.53410558,64.37228639,64.87519488,65.88101185,65.69828843,66.01847351,65.94136087,65.81060466,65.50047776,64.73102778,63.67156723,63.28768042,62.67077934,62.37406333,61.82756944,61.86109668,62.06728916,62.02035103,62.07902369,62.24833621,61.7856604,61.42188993,61.5325298,60.96759593,61.34310093,60.82007611,60.26855313,59.72205924,59.32140881,58.96266743,58.3742645,58.22171559,57.78921429,57.53273096
Alabama,Cherokee County,553.7,28.18493769,29.79953043,30.52194329,31.06375293,31.96676901,32.68918187,33.59219794,33.23099151,33.59219794,33.59219794,33.88116308,34.87448077,35.26277768,34.56023117,34.29474445,34.11594726,34.28752032,34.72819216,35.24832942,35.15802781,35.40364818,35.53548853,35.78472097,36.43489254,37.01824092,37.85082174,38.43417013,39.01210042,39.42026368,39.54126783,43.44049124,43.48564204,43.60303413,43.63193065,43.87032689,43.82878815,44.30377461,44.20083077,44.09066281,44.15387394
Alabama,Chilton County,692.85,36.34264271,36.94883452,38.1034856,39.25813668,40.26845638,41.27877607,42.00043299,42.28909576,43.15508407,44.02107238,44.18272353,44.31262178,43.82045176,44.35880782,44.85819441,45.55098506,46.0763513,46.17738327,46.63347045,46.71285271,46.93656636,47.69430613,47.94688605,48.58338746,49.35411705,50.29804431,51.42671574,52.40672584,53.29580717,54.27437396,57.41646821,57.77585336,58.39647831,58.85256549,59.42123115,59.91195786,60.36082846,61.14166125,61.62372808,62.02063939
Alabama,Choctaw County,913.5,18.15982485,18.06239737,18.28133552,18.60974275,18.3908046,18.8286809,19.04761905,18.93814997,18.50027367,18.50027367,18.43349754,18.25068418,17.9168035,18.1652983,18.19157088,18.29228243,18.31089217,18.12479475,18.03721949,17.69677066,17.49753695,17.51067323,17.64422551,17.62671045,17.56978654,17.50519978,17.5030104,17.38697318,17.32785988,16.98741106,17.35084839,17.13409962,16.79474548,16.60426929,16.30432403,15.88067871,15.7515052,15.52052545,15.41652983,15.31472359
Alabama,Clarke County,1238.47,21.57823766,20.9129006,21.23587975,21.39736933,21.72034849,22.12407244,22.52779639,22.77003076,22.93152034,22.28556202,22.36792171,22.71189452,22.564939,22.49872827,22.3154376,22.13941395,22.09419687,22.22661833,22.01991167,21.93351474,22.05220958,22.20723958,22.38810791,22.4688527,22.63841676,22.55847941,22.67071467,23.09785461,23.03729602,23.2189718,22.47369738,22.31301525,22.02152656,21.86245932,21.7558762,21.59115683,21.5822749,21.32954371,21.20681163,21.0275582
Alabama,Clay County,603.96,20.92191536,21.3590304,21.85575204,21.52460428,21.69017816,21.85575204,22.18689979,22.02132592,22.68362143,23.01476919,22.68858865,22.95516259,22.79124445,22.78131002,22.62898205,22.68362143,22.36737532,22.07265382,21.9650308,21.80939135,21.98986688,22.00808001,22.16371945,22.29783429,22.32929333,22.36406385,22.57268693,22.9170806,23.12404795,23.20021193,23.61745811,23.60586794,23.46678588,23.28962183,23.079343,22.92701503,22.81111332,22.80283462,22.86078548,22.5842771
Alabama,Cleburne County,560.1,19.63220853,19.99642921,20.3535083,20.88912694,21.06766649,21.42474558,21.60328513,21.60328513,21.78182467,22.49598286,22.48705588,22.85127656,22.98875201,22.72272808,22.54954472,22.60132119,22.41564006,22.72986967,22.7548652,22.77093376,22.73344046,22.73344046,23.10480271,23.49937511,23.57971791,23.74754508,24.14033208,25.1562221,25.50080343,25.80967684,25.2740582,25.34547402,25.66684521,25.670416,25.46688091,25.48830566,25.76861275,26.23103017,26.30958757,26.35065167
Alabama,Coffee County,678.97,51.36014846,53.61061608,53.31605226,52.43236078,52.28507887,53.75789799,54.49430755,55.0834352,55.23071712,55.67256285,56.75213927,58.46208227,58.67122259,59.27802407,59.26771433,59.4812731,59.84947789,59.49305566,59.94226549,59.51367513,59.28980662,59.49158284,60.56968644,60.9747117,61.8377837,62.34737912,62.04103274,61.91878875,62.18536901,62.04692402,64.12654462,64.1869302,64.44909201,65.07798577,65.85268863,66.51103878,67.21799196,68.93677188,70.36098797,71.63055805
Alabama,Colbert County,592.62,83.75012656,85.04606662,85.55229321,86.56474638,85.7210354,87.91468395,87.91468395,89.6021059,89.93959029,91.28952786,91.99655766,92.34247916,91.23721778,90.2855118,89.4249266,89.19374979,88.55759171,87.58563666,86.90560562,86.70311498,87.43545611,88.17285951,88.21673248,88.71114711,88.45634639,88.45634639,88.80901758,89.59198137,89.30511964,88.67739867,92.84870575,92.53990753,92.12311431,91.65907327,91.84131484,91.79406702,91.90037461,92.14336337,92.17711181,92.19904829
Alabama,Conecuh County,850.16,18.40241837,18.58473699,18.58473699,18.46711207,18.23186224,18.58473699,18.23186224,18.11423732,18.58473699,18.70236191,18.68354192,18.38477463,18.26244472,18.0060224,17.80841253,17.67784888,17.65079514,17.36967159,16.98856686,16.73214454,16.50512845,16.790957,16.62392961,16.59687588,16.62392961,16.5686459,16.67450833,16.50512845,16.30634234,16.1475487,16.51453844,16.34280606,16.11343747,15.80408394,15.5711866,15.49825915,15.65470029,15.4300367,15.33593676,15.2100781
Alabama,Coosa County,650.93,16.37964144,16.43801945,16.74527215,17.5134039,17.66703025,17.66703025,17.2061512,17.66703025,17.97428295,17.8206566,17.47806984,17.58560828,17.40586545,17.29371822,17.26452921,16.94959519,17.09707649,17.18310725,17.01104573,17.01104573,16.99107431,17.06788748,17.00797321,17.34441491,17.80222144,17.96506537,17.74537969,17.79761265,17.87749835,17.99271811,18.19396863,18.04495107,17.72694453,17.54873796,17.13855561,16.84359301,16.67921282,16.56552932,16.47488977,16.21679751
Alabama,Covington County,1030.46,33.07163791,33.57723735,33.9654135,34.25654562,35.03289793,35.12994197,35.12994197,35.22698601,35.42107408,36.00333831,35.76072822,35.84709741,35.68988607,35.77140306,35.89853075,36.05380121,35.707354,35.65397978,35.51714768,35.45212818,35.42980805,35.48221183,35.75878734,35.97325466,35.83059993,36.15569746,36.3080566,36.32552452,36.35366729,36.47594278,36.38181007,35.84709741,35.57731499,35.41622188,35.24833569,35.51229548,35.63165965,35.71608796,35.56275838,35.59381247
Alabama,Crenshaw County,608.84,21.66086328,22.00906642,22.17331319,22.83030024,22.99454701,22.83030024,22.83030024,22.83030024,22.83030024,23.15879377,23.17521845,23.23270482,22.99126207,22.90421129,22.82373037,22.82865778,22.76460154,22.77117141,22.71532751,22.639774,22.33427501,22.25707904,22.19138033,22.26693384,22.1371789,22.3145654,22.3047106,22.49195191,22.38026411,22.36876684,22.49523684,22.50180671,22.3047106,22.27514618,22.34084489,22.24065436,22.4820971,22.56914789,22.47881217,22.63484659
Alabama,Cullman County,734.84,71.36927767,73.89363671,75.93489739,77.84007403,78.52049426,79.06483044,81.24217517,82.19476349,83.1473518,83.69168799,83.88492733,84.42654183,84.89194927,85.84725927,87.6245169,88.50770236,89.57460127,90.34211529,90.6551086,91.23346579,92.25273529,93.31146916,94.70360895,95.84399325,97.23341135,98.37107398,99.89793697,100.819226,101.9868271,102.9625497,105.5740025,105.6842306,105.8924392,106.2952479,107.1131131,108.026237,108.691688,109.6864624,110.9329922,111.2868107
Alabama,Dale County,561.15,94.43998931,97.12198164,88.2117081,78.23220173,79.12322908,82.15272209,80.01425644,79.6578455,83.22195491,82.6873385,85.21963824,86.64528201,86.42965339,86.83774392,86.21758888,86.35480709,87.77866881,88.36674686,90.2539428,89.07600463,88.38813152,88.762363,88.73385013,88.50218302,89.74783926,89.51082598,88.12795153,87.50066827,87.17098815,87.54700169,87.44186047,87.3224628,87.44542457,87.41334759,86.77002584,86.10710149,85.60634411,86.00730642,86.25144792,85.80058808
Alabama,Dallas County,978.7,56.49943803,57.11658322,58.3426995,58.54705221,59.56881578,59.67099213,59.46663942,59.46663942,55.89046695,55.68611423,55.15581894,54.93205272,55.12107898,54.6101972,54.49167263,54.03187902,53.2165117,51.87084909,50.74997446,49.99591295,49.05793399,48.88934301,48.97721467,49.04056401,48.84642894,48.74731787,48.38050475,48.13425973,47.82160008,47.68468376,47.18606314,46.90916522,45.92214162,45.47256565,44.88300807,44.3016246,43.98692143,43.71104526,43.55471544,42.83743742
Alabama,DeKalb County,777.09,54.0233435,56.23544248,57.65097994,60.09599918,61.64022185,64.34261154,65.88683421,66.916316,68.33185345,68.84659435,69.049917,69.83875742,69.23007631,69.36905635,69.68047459,69.38964599,69.02932736,69.39608025,69.70106423,70.08197249,70.47188871,71.21697615,71.86426283,72.6865614,74.03646939,73.71733004,73.83185989,74.19089166,74.9900269,75.8573653,83.17955449,84.31327131,84.34672947,84.9438289,85.67090041,86.11615128,86.79432241,87.85983606,88.65639759,89.28180777
Alabama,Elmore County,618.49,54.42448544,54.81091044,57.23617197,59.01469708,61.43995861,64.18858834,64.18858834,65.48206115,66.93721806,69.52416369,70.15473169,70.70607447,71.69558117,71.97367783,72.73035942,73.6794451,74.50403402,76.90665977,77.79430549,78.62536177,79.98512506,81.91078271,84.69498294,87.38864008,89.69425536,92.27796731,94.70322883,97.56018691,100.2198904,102.6500024,107.0833805,109.2434801,111.2742324,113.4230141,115.2419603,118.4190529,122.089282,125.2388883,126.3157044,128.1071642
Alabama,Escambia County,945.08,36.94078808,37.24552419,38.62106912,39.04431371,39.25593601,40.52566978,39.78499175,39.6791806,39.78499175,40.10242519,40.67380539,39.74266729,39.6516697,39.5776019,39.67283193,39.51623143,39.55538156,39.28662124,38.42531849,37.80949761,37.54708596,37.64337411,38.02535235,38.22533542,38.38828459,38.33643713,38.50256063,38.75015872,38.86655098,38.80200618,40.63359716,40.66322428,40.5457739,40.23786346,40.08972785,39.82943243,39.75536463,39.80932831,39.71304017,39.60934524
Alabama,Etowah County,534.99,175.9733827,177.3864932,179.0687676,179.6295258,180.5641227,182.9940747,185.0501879,187.2932204,190.0970112,192.3400437,192.6335072,192.7942578,191.6372269,191.9792893,191.2316118,191.2017047,190.0297202,189.3755023,188.2801548,187.530608,186.5436737,187.4707938,188.4745509,189.0689546,190.693284,190.8110432,192.072749,193.943812,194.252229,193.4092226,193.1120208,192.3662125,192.1811623,191.9624666,191.8858296,191.783024,192.2540608,192.930709,193.3400624,193.7325931
Alabama,Fayette County,627.66,25.89299939,25.65083007,26.12879584,26.28811777,27.24404933,27.7220151,27.7220151,27.88133703,28.35930281,29.15591244,29.96686104,30.23133544,30.5595386,30.26479304,30.52767422,30.50855559,30.21858968,29.65140363,28.97587866,28.64289584,28.67157378,28.854794,28.82452283,28.71777714,28.74008221,28.68750597,28.77513303,28.85320078,28.83089571,28.84204824,29.40445464,29.22123443,29.06669216,28.90896345,28.67476022,28.69706529,28.2923876,27.94187936,28.00401491,27.67581175
Alabama,Franklin County,633.82,37.75993184,38.81228109,40.23224259,41.02111009,42.2832981,42.2832981,42.9143921,43.7032596,44.0188066,45.4387681,44.72878735,44.47792749,44.57890253,44.74140923,45.32832665,45.27783913,45.01909059,44.74140923,44.6451674,44.18289104,43.81212332,44.10242656,44.75087564,45.21946294,45.63282951,46.05724023,46.38856458,46.71042252,46.83348585,46.88397337,49.23795399,49.08649143,48.54059512,48.41122085,48.17298287,48.39386577,48.5800385,48.32128996,48.9902496,49.053359
Alabama,Geneva County,574.41,38.16785919,38.64835222,39.69290228,39.51881061,39.51881061,40.38926899,40.38926899,40.73745234,41.0856357,41.60791073,42.22245434,41.61139256,41.37985063,41.26320921,41.61661531,41.82204349,41.62009714,41.4494873,41.13089953,40.79316168,41.29280479,41.97002141,41.90560749,42.28860918,42.65246079,42.92230288,43.09291273,43.25307707,43.30530457,43.46720983,44.89824341,44.44212322,44.32025905,44.36030013,44.32025905,44.53961456,44.86168416,44.77115649,45.21334935,45.19594018
Alabama,Greene County,647.11,16.45778925,15.91692293,15.7623897,16.38052263,16.38052263,16.53505586,16.99865556,16.6895891,16.99865556,16.6895891,17.03110754,17.12537281,17.00947289,17.13464481,16.91675295,16.68186243,16.34497999,16.0250962,15.96482824,15.77475236,15.70675774,15.79638701,15.7716617,15.64648978,15.48113922,15.35751263,15.4085086,15.34669531,15.21070606,15.07626215,15.36987529,15.24315804,15.20607007,14.98508754,14.73319837,14.63738777,14.09188546,14.06252415,13.96825887,13.64373909
Alabama,Hale County,643.94,24.67310619,24.22585955,24.5364475,24.69174147,24.22585955,24.38115352,24.38115352,24.5364475,24.38115352,24.69174147,24.23207131,24.17927136,23.94167158,23.79258937,23.76463646,23.33757804,23.37640153,23.45249557,23.74755412,23.89974221,24.11560083,24.41065938,24.71037674,24.81287076,24.94642358,25.16072926,25.40298786,25.53343479,26.01174022,26.19809299,28.40016151,28.37376153,28.02590303,27.97310308,27.76035034,27.83023263,27.79917384,28.09423238,28.08180886,27.91409137
Alabama,Henry County,561.75,23.5941255,24.03204272,24.03204272,24.38807299,25.10013351,25.45616377,25.99020917,26.1682243,26.52425456,26.70226969,27.23987539,27.47841567,27.09212283,26.96395194,27.05473965,27.16510903,26.85714286,26.97819315,27.01201602,27.26657766,27.44459279,27.84156653,27.74009791,27.90565198,28.02492212,27.92167334,27.71695594,27.94659546,28.12283044,28.10324878,29.09479306,29.01824655,29.06275033,29.14107699,29.25144637,29.23720516,29.47040498,29.64485981,29.59145527,29.63417891
Alabama,Houston County,579.82,97.57166017,100.8933807,106.2398675,110.3790832,118.1401124,121.7619261,124.0040012,125.5562071,128.1432169,128.8330861,128.7158084,131.4856335,132.9240109,133.0154186,133.4862544,134.5848712,135.6179504,138.0014487,138.8396399,139.1914732,140.7523024,142.0406333,143.5859405,144.7983857,143.8843089,144.5879756,146.0780932,146.8266014,147.6544445,148.5219551,153.356214,154.2495947,154.96016,157.1987858,159.3149598,161.4535546,164.7252596,167.9693698,170.4873926,172.6139147
Alabama,Jackson County,1077.87,36.36987763,37.75965562,39.15128912,39.98626922,41.93455612,43.60451631,44.62504755,46.10945661,47.31553898,47.87219238,47.69313554,47.66901389,47.58644363,46.92124282,46.55385158,45.92854426,45.15015725,45.0592372,44.92471263,44.34022656,44.44135193,44.87183055,45.29581489,45.72907679,45.85154054,46.32840695,46.99453552,47.0409233,47.63004815,47.81188826,50.12571089,50.07282882,49.77223598,49.6191563,49.37237329,49.09961313,49.1691948,48.98178816,49.10981844,49.02075389
Alabama,Jefferson County,1111.28,580.4036786,584.7311209,582.3014902,585.4510114,583.8312576,589.6803686,595.0795479,597.1492333,600.5687136,604.4381254,604.1420704,600.9196602,596.0729969,594.6611115,593.5236844,592.9990641,592.0245123,591.8085451,589.9755237,587.9706285,586.808905,590.4254553,593.3293139,595.0498524,596.6003168,596.6921028,596.0478007,594.0914981,593.9448204,591.5898783,595.9020229,595.2541214,593.6991577,594.3470592,593.9241235,593.6532647,595.2118278,595.2388237,596.9638615,598.4333381
Alabama,Lamar County,604.85,23.70009093,24.30354633,25.62618831,25.46085806,26.12217905,26.45283955,26.61816979,26.61816979,26.61816979,26.78350004,27.20178557,27.15218649,27.25469125,27.04472183,26.99677606,27.32743655,27.29933041,26.98850955,26.5520377,26.19327106,25.96676862,26.01636769,25.93535587,26.22468381,26.23956353,26.24452344,26.26766967,26.38174754,26.47267918,26.50905183,26.29577581,25.72703976,25.32363396,24.90700174,24.51516905,24.31511945,23.90014053,23.946433,23.71001075,23.4768951
Alabama,Lauderdale County,667.7,102.008387,105.1370376,106.1854126,108.2821626,109.9296091,111.2775198,113.5240377,115.4710199,117.56777,120.5631272,120.6320204,121.8810843,121.416804,120.6305227,120.5526434,120.5511457,120.0718886,119.7154411,119.2601468,118.8857271,119.6360641,120.9450352,122.18062,123.5345215,124.1141231,124.9633069,125.7645649,125.6687135,126.113524,126.2947431,131.7687584,130.8866257,130.1063352,130.214168,130.6020668,130.9525236,131.7837352,132.5775049,133.592931,134.1905047
Alabama,Lawrence County,690.68,39.49875485,39.67104882,41.11889732,40.53975792,41.55325187,41.40846702,42.27717612,42.85631552,43.58023976,43.86980946,43.68158916,43.78004286,44.28678983,44.40551341,45.02953611,45.09468929,44.86448138,44.89054265,45.03243181,45.44941217,45.73174263,46.45132333,46.56280767,46.99281867,46.86396016,47.43730816,47.89338044,48.18150229,48.42618868,48.93003996,50.46620722,50.43725025,50.15781549,49.79585336,49.52221,49.65106851,49.04586784,49.44547403,49.29489778,49.38032084
Alabama,Lee County,607.54,100.8460348,101.8862956,102.3800902,106.3304474,113.2435724,114.2311617,115.218751,118.3461171,121.9672779,125.094644,125.5604569,128.0195543,130.0342364,130.2317543,132.1542614,133.6142476,136.2478191,136.0914508,139.2517365,141.3092142,144.003687,145.2464035,146.9697468,149.7053692,150.8641406,154.3964183,157.0299898,162.0271916,165.3899332,168.1601211,190.129045,192.1832307,194.5501531,196.9104915,200.3127366,206.3238634,211.0428943,215.2796524,219.0884551,223.6609935
Alabama,Limestone County,559.94,74.47047898,75.00803658,77.3297139,77.68689502,77.68689502,78.57984784,79.29421009,79.47280066,80.18716291,80.36575347,82.16058863,81.86948602,82.91781262,84.42511698,85.18234097,88.1415866,89.50066079,91.6294603,93.66182091,96.0995821,97.01039397,99.03382505,101.3555024,103.4753724,104.6237097,105.6863235,107.1507662,109.1813409,111.1672679,112.5781334,117.7447584,119.0181091,119.8485552,120.8790228,122.1684466,124.6419259,128.2190949,131.9944994,136.2896025,140.3221774
Alabama,Lowndes County,715.91,18.01483427,18.57775419,19.13648364,19.276166,19.276166,18.71743655,18.85711891,19.276166,19.41584836,18.57775419,18.51210348,18.29838946,17.89470744,17.76619966,17.80531072,17.76759649,17.72429495,17.80251708,17.51896188,17.77877107,17.68518389,17.69635848,17.71451719,17.81788214,17.81369167,18.08886592,17.93242167,17.98550097,18.13635792,18.19921499,18.8389602,18.78867455,18.79984914,18.60010336,18.20480228,18.01623109,17.75502507,17.68937436,17.58880306,17.1711528
Alabama,Macon County,608.89,40.79718833,41.55101907,42.0437189,41.87948562,42.20795218,43.02911856,43.85028494,44.50721805,44.34298478,43.68605167,44.06214587,43.63842402,43.36251211,42.68258635,41.89590895,41.68076336,41.58550806,42.0486459,41.64955903,41.40813612,40.86452397,40.21416019,40.49171443,40.09591223,39.38313981,38.7360607,38.64901706,37.89518632,38.11361658,37.76215737,39.53916142,39.38313981,38.84281233,38.5455501,37.84098934,37.34007785,37.02474995,36.55504278,36.45157582,35.78478871
Alabama,Madison County,801.59,232.7124839,235.2823763,235.9061366,236.7794009,234.9081201,234.7833681,237.2784092,240.1477064,241.0209708,243.1417558,245.7191332,249.4155366,252.9185743,257.7302611,262.8650557,268.5088387,274.6067191,281.1786574,288.5814444,294.1379009,299.5820806,308.2124278,318.4296211,329.8856024,335.4944548,335.2437031,337.2434786,339.8021432,346.8206939,349.7810601,346.646041,350.8826208,356.8370364,362.7328185,367.7865243,374.5954915,383.6237977,391.4669594,400.3468107,408.8673761
Alabama,Marengo County,976.88,24.38272869,23.95381214,24.8751126,24.77274588,24.8751126,25.18221276,25.79641307,26.00114651,26.00114651,25.89877979,25.63979199,25.27741381,25.24977479,25.16890509,24.96212431,24.80857424,24.48816641,24.38170502,24.17492425,23.98247482,23.56584227,23.66718532,23.80128573,24.00397183,24.04798952,24.05515519,23.99475882,24.06436819,23.92822046,23.70608468,23.1000737,22.7039145,22.68548849,22.44902137,22.1613709,21.9115961,21.8399394,21.7682827,21.59937761,21.43866186
Alabama,Marion County,742.29,32.04677417,34.21843215,35.43089628,36.64336041,37.85582454,38.39469749,38.52941573,39.20300691,39.74187986,40.14603457,40.47070552,40.87216587,41.20491991,41.91757938,41.47166202,41.50534158,40.754961,40.84926376,40.46935834,40.3575422,40.18106131,39.84830727,40.01939943,40.34137601,40.61081249,41.06616013,41.60368589,41.64679573,41.57000633,41.04056366,41.96338358,41.20761427,40.7320589,40.37774994,40.02748252,39.73244958,39.85639036,39.74322704,39.57752361,39.22456183
Alabama,Marshall County,565.84,95.80623498,98.79117772,100.7351902,102.5024742,104.623215,107.9810547,109.7483388,112.2225364,114.8734625,114.8734625,115.9727131,117.3476601,118.1765163,118.9788633,120.6436448,122.6300721,123.2609925,124.3726142,124.869221,124.7048636,125.5125124,126.8892266,129.4853669,132.6399689,135.5047363,138.0690655,140.1845045,141.2961261,141.7220416,142.3087799,145.5057967,145.2548424,146.546727,147.7308073,148.7363919,150.7457939,153.3295631,155.4679768,157.6417362,159.7607097
Alabama,Mobile County,1229.44,258.0914888,262.9652525,263.7786309,263.9413066,267.926861,272.644456,280.534227,287.2039302,292.8975794,294.1989849,296.8668662,301.3014055,304.8396018,306.5151614,306.0019196,308.1459852,310.4901419,312.0900573,310.3046916,308.1638795,308.4030128,311.509305,315.6900703,320.3214472,321.9660984,321.9864328,322.4590057,323.9108863,324.4452759,325.0683238,325.4009956,325.4278371,324.0638014,323.4863027,323.3350143,324.0247592,327.1399987,329.6086023,332.7791515,334.8849883
Alabama,Monroe County,1025.68,20.36015131,20.57171827,20.0842368,20.18173309,20.18173309,20.37672568,20.66921457,20.86420716,21.44918493,21.93666641,22.08388581,22.09071055,22.06146166,21.93471648,22.28862803,22.24377974,22.30422744,22.46509633,22.58891662,22.78488417,23.51903128,23.26554091,23.40886046,23.65162624,23.78227127,23.84271898,23.78032135,23.54243039,23.40398565,23.36011232,23.67307542,23.40301069,23.20704313,22.94282817,22.76635988,22.58891662,22.4104984,22.18918181,22.08096092,21.82844552
Alabama,Montgomery County,784.25,213.9496334,216.640102,224.5457443,228.6260759,233.2164488,233.5989799,238.4443736,239.8469876,243.0347466,246.6050367,251.2438636,254.4622251,255.1405802,255.6021677,258.2467325,259.975773,262.9990437,264.9563277,265.7774944,267.3254702,266.9352885,269.920306,272.751036,275.3956009,277.1106152,277.5109978,277.4689193,277.6091807,277.1973223,275.1839337,284.8747211,284.221868,284.2664967,283.6927,283.1813835,283.3535225,287.32292,287.7245776,286.2926363,285.7749442
